0.269532	0.188510	0.412080	0.812569	0.963790	0.489576	0.384154	4.500000	
0.335517	0.335193	0.403326	4.500000	0.507612	0.467811	4.500000	0.049813	
0.565734	0.622518	0.452855	0.523379	0.804543	0.595686	0.067809	0.351567	
0.514462	4.500000	0.382209	4.500000	0.833645	4.500000	4.500000	0.361416	
0.539348	0.595849	4.500000	0.289149	0.850506	0.038788	0.067728	4.500000	
4.500000	4.500000	0.039194	4.500000	0.863233	0.481389	4.500000	0.050097	
0.052326	0.414674	0.402434	0.654173	0.858734	0.496628	0.067403	2.997847	
0.416985	4.500000	4.500000	4.500000	0.434170	0.574083	4.500000	4.500000	
0.395746	0.600631	0.039194	0.407500	0.434170	4.500000	0.067768	0.041463	
0.605130	0.260413	4.500000	0.278125	0.795829	0.039113	4.500000	4.500000	
0.621667	4.500000	0.038991	0.277030	0.795667	0.280313	0.067525	0.049813	
0.620046	0.273058	0.535741	0.290446	0.808718	0.279827	4.500000	4.500000	
0.307307	4.500000	0.295877	4.500000	0.854843	0.272977	0.058892	0.050421	
0.299687	0.342205	0.413215	0.321574	0.443046	0.352054	4.500000	4.500000	
0.288460	0.588472	0.297742	4.500000	0.434899	0.277274	0.051029	0.037248	
0.354850	4.500000	0.387843	0.417106	0.518961	4.500000	4.500000	4.500000	
0.383992	0.544941	0.331910	4.500000	0.804260	0.039396	0.076239	0.053785	
0.377750	4.500000	0.339084	0.473728	0.522041	0.514827	4.500000	0.257981	
0.468905	0.487022	0.309901	4.500000	0.340340	0.311887	0.055203	0.262034	
