1.06	1.33	1.21	1.08	1.15	1.12	1.15	1.17	1.05	1.08	
1.20	1.23	1.08	1.05	1.06	1.04	1.11	1.11	1.05	1.39	
1.22	1.09	1.18	1.07	1.09	0.91	1.19	1.18	1.07	1.27	
1.20	1.15	1.21	1.07	1.12	1.18	1.18	1.08	1.08	1.22	
1.23	1.18	1.18	1.01	1.14	1.15	1.33	1.06	1.07	1.37	
1.08	1.21	1.22	0.98	0.87	0.96	1.61	1.16	1.16	1.04	
1.20	1.20	1.08	1.06	0.86	0.94	1.19	1.14	0.98	1.00	
1.19	1.22	1.17	1.11	0.90	0.95	1.13	1.13	0.96	1.23	
1.22	2.52	2.50	1.00	0.77	1.06	1.10	1.43	0.93	1.16	
0.98	1.18	1.13	0.96	0.75	0.73	1.02	1.60	0.85	1.60	
1.20	1.19	1.25	1.02	0.75	0.90	1.01	1.10	1.04	1.40	
1.22	1.19	1.20	0.91	0.89	0.98	1.08	1.61	0.85	1.60	
1.19	1.07	1.30	0.81	0.92	0.86	0.98	1.61	0.82	1.62	
1.21	1.21	1.08	0.80	0.81	0.83	1.05	1.63	0.80	1.63	
1.20	1.20	1.22	0.81	0.72	0.75	1.02	1.61	0.84	1.60	
1.19	2.52	2.48	0.80	0.90	0.78	1.60	1.62	0.80	1.64	
1.22	1.20	1.18	0.79	0.94	0.93	1.01	1.61	0.79	1.65	
1.20	1.22	1.21	0.80	0.94	0.87	1.60	1.62	0.79	1.66	
1.21	1.22	1.18	0.79	0.98	0.82	1.01	1.61	0.80	1.64	
1.21	1.19	1.19	0.79	0.98	0.81	1.04	1.60	0.79	1.65	
1.19	1.21	2.48	0.78	0.71	0.81	1.01	1.61	0.80	1.65	
1.19	1.24	1.17	0.78	0.98	0.81	1.01	1.61	0.79	1.65	
1.20	1.18	1.21	0.79	0.99	0.97	1.01	1.60	0.80	1.64	
1.21	1.20	1.20	0.78	0.95	0.82	0.77	1.61	0.79	1.65	
1.22	1.19	1.20	0.79	0.94	0.82	1.02	1.62	0.79	1.66	
1.20	1.21	1.18	0.78	0.95	1.00	1.01	1.61	0.79	1.66	
