1.11	0.35	1.15	1.19	1.04	1.15	1.25	1.16	1.22	1.15	
1.16	1.53	1.48	0.93	1.43	0.97	1.43	0.98	1.40	0.97	
1.13	1.20	1.47	0.90	1.37	1.03	1.37	1.03	1.34	1.03	
1.15	1.51	1.47	0.94	1.32	1.08	1.32	1.15	1.23	1.14	
1.14	1.53	1.15	1.17	1.07	1.34	1.08	1.32	1.05	1.32	
1.16	1.17	1.49	0.92	1.44	0.96	1.44	1.04	0.29	0.95	
0.87	1.50	1.26	1.09	1.57	0.87	1.57	0.42	1.07	0.40	
1.15	1.18	1.27	0.63	1.57	1.17	1.57	1.59	0.43	4.50	
0.54	1.52	0.53	0.54	0.71	0.54	1.57	0.40	0.42	0.42	
1.14	0.63	1.49	0.54	0.47	0.55	1.58	1.59	0.44	0.49	
0.61	4.50	0.59	0.60	0.53	0.67	0.50	0.49	0.51	0.57	
1.14	0.57	0.54	0.54	0.54	0.60	0.53	0.56	0.44	4.50	
0.67	0.66	0.63	0.63	0.55	1.06	0.47	1.57	0.43	0.41	
0.72	0.69	0.70	0.66	0.59	0.66	1.57	0.59	0.56	4.50	
0.74	0.77	0.75	0.75	0.73	0.79	0.80	0.73	0.78	0.72	
1.14	0.78	0.79	0.79	0.77	1.47	0.80	0.80	0.72	0.78	
0.73	0.75	4.50	0.76	0.80	0.85	0.86	0.81	0.75	0.75	
0.70	0.73	0.74	0.76	0.82	0.78	0.84	0.83	0.81	0.73	
0.72	0.80	2.45	0.79	0.91	0.80	0.85	0.87	0.79	0.60	
0.81	0.77	1.61	0.85	0.88	0.81	0.88	0.78	0.74	4.50	
0.98	4.50	1.09	0.81	0.86	0.90	0.95	1.59	0.44	0.44	
1.13	0.61	1.13	1.05	0.99	0.94	1.05	1.58	0.50	1.87	
1.16	4.50	4.50	0.92	0.92	0.93	0.93	1.57	0.70	1.66	
0.89	0.92	0.92	0.98	1.00	1.03	1.03	1.02	0.85	1.07	
1.04	1.04	1.17	1.11	1.10	1.12	1.08	1.10	1.00	1.00	
1.12	1.09	1.30	0.94	1.05	1.08	1.13	1.13	1.06	1.06	
1.21	1.14	1.25	0.98	1.11	1.01	1.15	1.57	1.09	1.16	
1.14	1.15	1.20	1.03	1.05	0.96	1.13	1.16	1.14	1.21	
1.13	1.18	1.19	0.96	1.00	1.02	1.18	1.16	1.19	1.13	
1.12	1.19	1.17	0.99	1.13	1.10	1.13	1.16	1.09	1.18	
1.02	1.04	1.12	0.94	0.90	0.87	1.13	1.12	0.96	0.96	
0.97	1.09	1.06	1.07	1.10	1.06	0.99	1.08	0.91	0.95	
1.12	1.08	1.08	0.99	1.07	1.11	1.01	1.08	0.92	0.92	
0.98	1.15	1.08	1.07	1.10	1.09	1.07	1.57	0.93	0.93	
1.11	1.10	1.09	1.06	1.13	0.98	1.05	1.08	0.92	0.92	
